Participant ID,[Optional] What is your age?,"[Optional] To which gender identity do you most identify? 
(If not listed, please specify in ""Other"")","[Optional] According to the Fitzpatrick scale 
(https://en.wikipedia.org/wiki/Fitzpatrick_scale),
How would you classify your skin type?",[Optional] Where are you from? ,"[Optional] What is the highest degree or 
Level of school you have completed? ","[Optional] Have your received any formal musical training 
(beyond the usual music lessons in school)?","[Optional] Do you regularly engage in playing, 
Djing or producing any kind of music? ","[Optional] Would you describe 
Your musical taste as varied?","[Optional] Do you often 
Listen to Electronic Music?","[Optional] Within Electronic music, 
Would you describe your musical taste as varied?",Do you know these? [Kraftwerk],Do you know these? [Daft Punk],Do you know these? [Tangerine Dream],Do you know these? [The Chemical Brothers],Do you know these? [DJ Shadow],Do you know these? [Aphex Twin],Do you know these? [Roni Size],Do you know these? [Underworld],Do you know these? [Vangelis],Do you know these? [Moby],Do you know these? [The Prodigy],Do you know these? [Goldie],Do you know these? [Orbital],Do you know these? [Skrillex],Do you know these? [Deadmau5],Do you know these? [Nur Jaber],Do you know these? [DJ Rachael],Do you know these? [Deena Abdelwahed],Do you know these? [Loraine James],Do you know these? [Ibaaku],Do you know these? [Lafidki],Do you know these? [Upgrayedd Smurphy],Do you know these? [Sandunes],Do you know these? [Kerano],Do you know these? [Kamila Govorčin],Do you know these? [Echo Deep],Do you know these? [Faded Ghost],Do you know these? [AYN],Do you know these? [Amine K],Do you know these? [Dj Rashad],Familiarity Score,TRACK task 1,TRACK task 2,TRACK task 3,TRACK task 4,"Looking back at your choices, I
Ndicate what influenced you the most.","Looking back at your choices, indicate if 
these factors influenced your decision: 
[Tempo/BPM (fast vs. slow)]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sub-genres or sub-styles]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Feelings, emotions, mood]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Instruments and samples]","If other factors influenced your choices, 
Please specify them:",ARTIST task 1,ARTIST task 2,ARTIST task 3,ARTIST task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Race / color / skin type]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Sex / gender / sexual orientation]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Age]","Looking back at your choices, indicate 
if these factors influenced your decision: 
[Language / nationality / social origin]","If other factors influenced your choices, 
please specify them:",BOTH task 1,BOTH task 2,BOTH task 3,BOTH task 4,"Looking back at your choices, 
Indicate what influenced you the most.","Looking back at your choices, 
Which one did you weight the most:"
24,35-44 years old,Female,3,Africa,"Doctorate (e.g. PhD, EdD)",Yes,1,5,3,5,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.19,List B,List A,List A,List A,My listening of the tracks now,Weak influence,Strong influence,Strong influence,Weak influence,references in the name of the tracks e.g. Gnawa :),List B,List B,List A,List A,My seeing of the artists now,Medium influence,Medium influence,No influence,Strong influence,"styling, clothing",I don't know,List B,I don't know,List A,My listening of the tracks and seeing of the artists now,2
25,35-44 years old,Female,1,Europe,"Doctorate (e.g. PhD, EdD)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.40,List B,I don't know,I don't know,I don't know,My listening of the tracks now,Medium influence,Medium influence,No influence,No influence,,List B,List B,List A,List A,My previous knowledge/familiarity with the artists,Medium influence,Weak influence,No influence,Strong influence,,I don't know,I don't know,I don't know,I don't know,My previous knowledge/familiarity with the tracks and the artists,3
26,35-44 years old,Male,4,South America,"Master’s degree (e.g. MA, MS, MEd)",No,2,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,0.55,List B,List A,List B,List B,My previous knowledge/familiarity with the tracks,Medium influence,Strong influence,Strong influence,Strong influence,Personal taste,List B,List B,List B,List B,My seeing of the artists now,Medium influence,Strong influence,No influence,Strong influence,,List A,List B,List A,List B,My listening of the tracks and seeing of the artists now,2
27,25-34 years old,I prefer not to say,1,Europe,High school degree or equivalent,Yes,2,4,2,3,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.17,List B,List A,List B,List A,My listening of the tracks now,Strong influence,Medium influence,Strong influence,Weak influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Strong influence,,List B,List B,List A,List A,My listening of the tracks and seeing of the artists now,4
28,25-34 years old,Male,I prefer not to say,I prefer not to say,,Yes,5,3,4,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.32,List B,List A,List A,List B,My listening of the tracks now,Weak influence,Strong influence,Weak influence,Strong influence,,List B,List B,List B,List B,My seeing of the artists now,Weak influence,Strong influence,Weak influence,Strong influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,2
29,25-34 years old,Male,2,South America,"Master’s degree (e.g. MA, MS, MEd)",Yes,3,5,3,3,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.09,List B,I don't know,List A,List B,My listening of the tracks now,Strong influence,Medium influence,Medium influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Medium influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
30,25-34 years old,Male,3,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.47,List B,List B,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Strong influence,Weak influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,No influence,No influence,Strong influence,"El conocimiento previo acerca de la música de algunos artista me ha hecho escoger una de las dos listas, ya que pese a ser de lugares de origen distintos, sus músicas eran similares.",List B,List B,List A,List A,My listening of the tracks and seeing of the artists now,2
31,18-24 years old,Male,2,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,0.14,List B,List A,List A,List B,My previous knowledge/familiarity with the tracks,Strong influence,Strong influence,Medium influence,Medium influence,,List A,List B,List A,List B,My seeing of the artists now,No influence,No influence,No influence,No influence,Genero músical,List B,List B,List B,List B,My previous knowledge/familiarity with the tracks and the artists,4
32,35-44 years old,I prefer not to say,4,North America,"Bachelor’s degree (e.g. BA, BS)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,0.43,List B,List B,List B,List A,My listening of the tracks now,Weak influence,Medium influence,Strong influence,Strong influence,Armonía y melodía ,List B,List B,List B,List B,My previous knowledge/familiarity with the artists,No influence,No influence,No influence,No influence,,List A,List A,Lista B,List B,My listening of the tracks and seeing of the artists now,2
33,25-34 years old,Female,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,1,3,2,2,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.04,List A,List A,List A,I don't know,My listening of the tracks now,Strong influence,Weak influence,Weak influence,Strong influence,,List B,I don't know,I don't know,List B,My seeing of the artists now,Weak influence,Medium influence,No influence,Medium influence,,List A,List B,List B,List B,My listening of the tracks and seeing of the artists now,2
34,55-64 years old,Male,2,Europe,"Doctorate (e.g. PhD, EdD)",Yes,4,5,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.12,I don't know,List A,List B,List B,My listening of the tracks now,Weak influence,No influence,No influence,Strong influence,,List B,List B,List B,List B,My seeing of the artists now,Weak influence,Strong influence,No influence,Medium influence,,I don't know,List B,List B,List A,My listening of the tracks and seeing of the artists now,1
35,35-44 years old,Male,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,3,5,4,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,0.44,List B,List A,I don't know,List A,My previous knowledge/familiarity with the tracks,Strong influence,Weak influence,No influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Weak influence,Medium influence,Medium influence,,List B,List A,List B,List A,My listening of the tracks and seeing of the artists now,3
36,25-34 years old,Male,1,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,0.71,List B,List A,List A,List A,My listening of the tracks now,Medium influence,Strong influence,No influence,Strong influence,,List B,List B,List B,List B,My seeing of the artists now,Strong influence,Strong influence,No influence,Medium influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
37,25-34 years old,Male,2,Europe,"Bachelor’s degree (e.g. BA, BS)",No,1,4,4,3,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.40,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Medium influence,Strong influence,Weak influence,,List B,List B,List B,List A,My previous knowledge/familiarity with the artists,Weak influence,Medium influence,Medium influence,Strong influence,Music style,List B,List B,List B,List B,My listening of the tracks and seeing of the artists now,2
38,35-44 years old,Male,2,,"Bachelor’s degree (e.g. BA, BS)",No,1,4,5,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.31,List B,List B,List B,List A,My listening of the tracks now,Strong influence,Strong influence,Medium influence,Medium influence,Regional music styles,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Medium influence,No influence,Strong influence,,List B,I don't know,List B,List B,My listening of the tracks and seeing of the artists now,2
39,45-54 years old,Male,1,Oceania,"Master’s degree (e.g. MA, MS, MEd)",No,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.50,List B,List A,List B,List A,My listening of the tracks now,Strong influence,Medium influence,Strong influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Medium influence,Strong influence,,List B,List B,List B,List A,My previous knowledge/familiarity with the tracks and the artists,2
40,25-34 years old,Male,1,Oceania,"Master’s degree (e.g. MA, MS, MEd)",No,1,4,5,4,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.28,List B,List A,List A,List B,My listening of the tracks now,Medium influence,Strong influence,Medium influence,Weak influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Weak influence,Medium influence,,List A,List B,List B,List A,My listening of the tracks and seeing of the artists now,1
41,35-44 years old,Male,2,I prefer not to say,"Doctorate (e.g. PhD, EdD)",No,5,4,5,4,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.34,List A,List A,List A,List B,My listening of the tracks now,Weak influence,Strong influence,No influence,Weak influence,,List B,List B,List B,List B,My seeing of the artists now,Medium influence,Medium influence,No influence,Medium influence,,List B,List B,List A,List A,My listening of the tracks and seeing of the artists now,2
42,45-54 years old,Male,1,Europe,"Master’s degree (e.g. MA, MS, MEd)",Yes,3,3,4,3,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.20,List B,List A,List B,List B,My listening of the tracks now,Medium influence,Medium influence,Strong influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,Medium influence,Medium influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
43,25-34 years old,Male,2,Europe,"Doctorate (e.g. PhD, EdD)",Yes,3,4,3,2,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.14,List B,List A,List B,List A,My listening of the tracks now,Weak influence,Medium influence,Weak influence,Medium influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Medium influence,No influence,Strong influence,,List B,List A,List A,List A,My listening of the tracks and seeing of the artists now,2
44,25-34 years old,Male,I prefer not to say,Europe,"Doctorate (e.g. PhD, EdD)",Yes,5,5,4,4,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.09,List B,List A,List A,List A,My listening of the tracks now,Medium influence,Medium influence,Strong influence,Strong influence,presence of vocals or not.,List B,List B,List A,I don't know,My seeing of the artists now,Strong influence,Strong influence,No influence,Strong influence,,List B,I don't know,List A,I don't know,My listening of the tracks and seeing of the artists now,1
45,35-44 years old,Male,5,Asia,"Bachelor’s degree (e.g. BA, BS)",Yes,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.29,List B,List B,List B,List B,My listening of the tracks now,No influence,No influence,Strong influence,No influence,Aesthetic,List B,List B,List B,List B,My seeing of the artists now,Strong influence,Strong influence,No influence,Strong influence,Being Politically correct,List B,List B,List A,List A,My listening of the tracks and seeing of the artists now,3
46,25-34 years old,Female,3,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,5,5,5,5,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I know them/her/him,0.63,List B,List A,List A,List B,My listening of the tracks now,Strong influence,Strong influence,Medium influence,Medium influence,,List B,List B,List A,List A,My previous knowledge/familiarity with the artists,Weak influence,Strong influence,No influence,Medium influence,,I don't know,List B,List A,List A,My listening of the tracks and seeing of the artists now,3
47,35-44 years old,Male,2,Europe,"Master’s degree (e.g. MA, MS, MEd)",No,4,2,5,5,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,0.74,List B,List A,List A,List A,My listening of the tracks now,Medium influence,Medium influence,Weak influence,Strong influence,,List B,List B,List A,List B,My seeing of the artists now,Strong influence,Strong influence,No influence,No influence,,List B,List B,List A,List B,My listening of the tracks and seeing of the artists now,3
48,45-54 years old,Male,1,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,4,4,3,3,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.19,List B,List A,List B,List B,My listening of the tracks now,Medium influence,Weak influence,Strong influence,Weak influence,,List B,List B,I don't know,List B,My seeing of the artists now,Medium influence,Strong influence,Weak influence,Strong influence,,List A,List B,List B,I don't know,My listening of the tracks and seeing of the artists now,2
49,35-44 years old,Male,3,Europe,"Doctorate (e.g. PhD, EdD)",No,1,2,3,2,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,Maybe I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,0.21,List B,List A,List A,I don't know,My listening of the tracks now,Medium influence,Weak influence,Medium influence,Medium influence,,List B,List B,List B,List B,My seeing of the artists now,Medium influence,Strong influence,Weak influence,Medium influence,,List B,List B,List B,List A,My listening of the tracks and seeing of the artists now,3
50,35-44 years old,I prefer not to say,3,Europe,"Bachelor’s degree (e.g. BA, BS)",Yes,5,3,4,4,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,Maybe I know them/her/him,I know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,I don't know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,Maybe I know them/her/him,I know them/her/him,I know them/her/him,0.83,List B,List B,List B,List B,My previous knowledge/familiarity with the tracks,No influence,Strong influence,Medium influence,Weak influence,,List B,List B,List A,List B,My seeing of the artists now,Medium influence,Strong influence,No influence,No influence,income,List B,List B,List A,List A,My previous knowledge/familiarity with the tracks and the artists,4
